"","beta.est","beta.se","sigma.est","sigma.se"
"ones",-10.0337397371823,0.278399747252805,0.139461094429265,1.67938408958008
"hpwt",-0.406718416059167,0.855600237870496,0.428397275049054,3.03717974009937
"air",-0.149072596717062,0.317975199350072,0.159203897525855,2.4182423952831
"mpd",0.291305274696371,0.0712677270697761,0.0356784711750371,1.70006092387633
"space",2.32810645818616,0.129426339335496,0.0647981166934923,2.81578767110115
"price",-0.0824440626680635,0.0285496326204043,0.0142989504024006,0.0305198452247794
