"","beta.est","beta.se","sigma.est","sigma.se"
"ones",-10.056504481425,0.278922188858529,0.139461094429265,0.6986798921448
"hpwt",-0.340064811802406,0.856794550098109,0.428397275049054,2.54631016858435
"air",-0.149762889329926,0.318407795051711,0.159203897525855,1.05177974289324
"mpd",0.285330946423147,0.0713569423500741,0.0356784711750371,0.570743311448376
"space",2.31444114666049,0.129596233386985,0.0647981166934923,0.71958373421389
"price",-0.0793394347915912,0.0285979008048013,0.0142989504024006,0.0698322236843613
