"","beta.est","beta.se","sigma.est","sigma.se"
"ones",-10.3112748972048,0.262544922305795,1.64637653539427,0.260731761951295
"hpwt",1.027170698867,0.464355141905167,0.3642609014145,4.43648544375009
"air",0.323414463762369,0.150974942173276,0.103627095717022,1.15545831737811
"mpd",0.186744981428135,0.0489101659040481,0.0992098486943297,0.217059909272241
"space",1.63236445515839,0.127079513738467,0.842267245608282,0.11026654991174
"price",-0.122583264185072,0.0127993562829456,4.69763011048451e-05,0.187350247406951
