"","beta.est","beta.se","sigma.est","sigma.se"
"ones",-8.95075816843033,0.515301248448885,0.147820294747681,3.05781837720793
"hpwt",-6.63620718422775,1.33902021415361,0.459666980512512,30.2326360987873
"air",-1.83426454085324,0.537127272032485,0.153254805443627,14.8742130970437
"mpd",0.987801363625637,0.119676125675234,0.0836416373598964,0.765384421111011
"space",3.9032762227932,0.214687444936405,0.134264482140452,4.09430099008965
"price",-0.580930518336782,0.0478688389733078,0.286368379951099,0.0184107211999834
