"","beta.est","beta.se","sigma.est","sigma.se"
"ones",-5.78852998809679,0.656134058783747,2.83631784557653,0.993573356488045
"hpwt",-1.48282720689589,0.737860440943167,0.680126480103239,4.36435412031842
"air",-0.568796746495155,0.311180189388204,0.0745918377092965,2.04598715418528
"mpd",0.434276757803688,0.0828977233452521,0.679496643247404,0.152676366749048
"space",2.41064876604945,0.176622052323899,3.08782568640594,0.262036780518796
"logPRICE",-8.07130026840866,0.39460534628258,4.08345316786541,0.262814882250182
