"","beta.est","beta.se","sigma.est","sigma.se"
"ones",-16.7415691757029,0.309174088148753,6.0686222196548,0.190247309335561
"hpwt",3.07801462586643,0.957929368059141,0.183219506841866,7.57557052446889
"air",1.01506785736239,0.358998900525083,0.36713741159138,2.61349978878359
"mpd",0.0698744912689954,0.0779375891669685,0.238920123009739,0.141024210914847
"space",2.53244445986962,0.143451994002142,0,0.939466321883899
"price",-0.191065215217979,0.0322960024379805,0,0.121654956430249
