"","beta.est","beta.se","sigma.est","sigma.se"
"ones",-14.8139015843265,0.265212866503271,4.65285742465838,0.153037815041953
"hpwt",1.25079032500663,0.476568889380534,0.0630730182243058,1.30570752593551
"air",0.2828467322344,0.154769697112328,0,1.26773139397951
"mpd",0.261539877605556,0.049741749990704,0.0200238049417743,0.223185697034708
"space",2.51601767716103,0.128397041803215,0.00100905045551029,0.365158117487324
"price",-0.124476381627475,0.0131250226658307,0,0.429963883787504
