"","beta.est","beta.se","sigma.est","sigma.se"
"ones",-8.18348064021627,0.381886034324223,0.00768814592271305,2.85279463783882
"hpwt",-3.66374359227286,1.05635097510456,0.25803458163145,1.69143405542081
"air",-1.28190384100093,0.41113878862966,0.123208876588397,0.453762445104205
"mpd",0.709636952357856,0.0930693673351316,0.0527687920730214,0.397082508475709
"space",1.95156896848578,0.164871942609327,1.49002648028697,0.132142264109515
"price",-0.445665346030092,0.0366781136530923,0.224740802636012,0.0133917143402219
